case,change_id,category,original_text,revised_text,reason_en,reason_zh,golden_evidence
p28,2,ambiguity,"Each city, cit1 through cit6, has a position (pos1 through pos6) and an airport (apt1 through apt6).","Each city, cit1 through cit6, has its same-numbered position (pos1 through pos6) and its same-numbered airport (apt1 through apt6).",The two same-numbered modifiers uniquely pair every position and airport with its city.,两处“同编号”修饰语将每个位置和机场与其城市唯一配对。,"golden_problem.pddl:126-137: (in-city pos1 cit1), (in-city apt1 cit1), ..., (in-city apt6 cit6)"
p31,1,ambiguity,obj11 to obj63,"obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, obj53, obj61, obj62, and obj63",The pseudo-range can imply all integer labels from obj11 through obj63; the explicit list yields exactly the 18 golden package objects.,伪范围可能暗示从 obj11 到 obj63 的所有整数标签；显式列表仅生成 18 个金标包裹对象。,"golden_problem.pddl:8-10,16-18,23-25,30-32,37-39,45-47: package object declarations | golden_problem.pddl:50-67: (PACKAGE OBJ11) through (PACKAGE OBJ63) for the exact listed identifiers"
p33,1,contradiction,We have seven packages labeled from obj11 to obj73.,"We have twenty-one packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, obj53, obj61, obj62, obj63, obj71, obj72, and obj73.","The original count contradicts the 21 golden package objects, and the endpoint range can suggest 42 unsupported integer labels. Explicit enumeration is the smallest safe repair.",原文的数量与黄金 PDDL 中的 21 个包裹对象冲突，而且端点范围可能暗示 42 个不受支持的整数标签。显式列举是最小且安全的修复。,"golden_problem.pddl:8-10,15-17,23-25,30-32,37-39,44-46,52-54: package objects | golden_problem.pddl:57-77: (PACKAGE OBJ11) through (PACKAGE OBJ73)"
p35,1,contradiction,There are seven packages to manage:,There are twenty-one packages to manage:,"The sentence explicitly lists 21 golden package objects, so changing only the incorrect count removes the contradiction.",该句明确列出了黄金 PDDL 中的 21 个包裹对象，因此只修改错误数量即可消除冲突。,"golden_problem.pddl:8-10,15-17,23-25,30-32,37-39,44-46,52-54: package objects | golden_problem.pddl:57-77: (PACKAGE OBJ11) through (PACKAGE OBJ73)"
p37,1,ambiguity,each containing a location and an airport,"each containing two locations, a position and an airport",Explicitly states that each airport is also a location.,明确说明每个机场同时也是地点。,golden_problem.pddl:92-105: (LOCATION POS1) through (LOCATION APT7) | golden_problem.pddl:106-112: (AIRPORT APT1) through (AIRPORT APT7)
p38,1,missing_rule,"each city has a position and an airport respective to them, such as pos1 and apt1 for cit1, and so forth up to pos7 and apt7 for cit7","for every integer i from 1 through 7, city citi has position posi and airport apti, where citi, posi, and apti denote the prefixes cit, pos, and apt followed by the same integer i",Provides a finite bound and exact same-index identifier construction.,提供有限范围及精确的同索引标识符构造。,"golden_problem.pddl:85-112: city, location, and airport unary atoms | golden_problem.pddl:145-158: all same-index IN-CITY atoms"
p38,2,missing_rule,"This pattern continues similarly for all trucks, packages, and positions up to tru7 at pos7 with packages obj71, obj72, and obj73.","For each integer i from 4 through 6, truck trui and packages obji1, obji2, and obji3 are at posi, where identifiers are formed by appending i to tru and pos and by placing i between obj and each suffix 1, 2, or 3; tru7 is at pos7 with packages obj71, obj72, and obj73.",Replaces vague analogy with exact construction for the omitted middle groups while retaining index 7.,用精确构造替代模糊类推，同时保留第 7 组。,golden_problem.pddl:129-144: (AT TRU4 POS4) through (AT OBJ73 POS7)
p38,3,missing_rule,"pos1 and apt1 lie in cit1, pos2 and apt2 are in cit2, and so forth up to pos7 and apt7 in cit7","for every integer i from 1 through 7, posi and apti lie in citi, where posi, apti, and citi denote the prefixes pos, apt, and cit followed by the same integer i",Uniquely expands to all and only the 14 city-membership atoms.,唯一展开为且仅展开为 14 个城市隶属原子。,golden_problem.pddl:145-158: (IN-CITY POS1 CIT1) through (IN-CITY APT7 CIT7)
p39,1,contradiction,"There are seven packages labeled from obj11 to obj73, seven trucks named tru1 to tru7, seven cities named cit1 to cit7, and seven airports, apt1 through apt7, which also serve as locations.","There are 21 packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, obj53, obj61, obj62, obj63, obj71, obj72, and obj73; seven trucks named tru1 to tru7; seven cities named cit1 to cit7; and seven airports, apt1 through apt7, which also serve as locations.",Corrects the package count and replaces an over-generating pseudo-range with the exact inventory.,修正包裹数量，并用精确清单替换过度生成的伪范围。,golden_problem.pddl:4-54: complete object inventory | golden_problem.pddl:57-77: 21 PACKAGE atoms
p39,2,missing_rule,"Trucks are stationed at positions pos1 through pos7, each in their respective cities cit1 to cit7, along with three packages per position.","For every integer i from 1 through 7, position posi and airport apti are locations in city citi, truck trui is initially at posi, and packages obji1, obji2, and obji3 are initially at posi; in these identifiers, i is the same integer appended to pos, apt, cit, and tru and placed between obj and the package suffix 1, 2, or 3.","Defines every location, city mapping, truck placement, and package placement with one finite exact rule.",用一条有限精确规则定义全部地点、城市映射、卡车位置和包裹位置。,golden_problem.pddl:92-112: location and airport types | golden_problem.pddl:117-158: truck/package AT and all IN-CITY atoms
p39,3,ambiguity,"Similarly, the positions pos2 to pos7 in cities cit2 to cit7 are each associated with one truck and three packages.",The preceding complete rule covers indices 2 through 7 as well.,Ties the remaining indices to the now-complete rule instead of an undefined analogy.,将其余索引绑定到完整规则，而非未定义的类推。,golden_problem.pddl:121-158: all index-2 through index-7 placements and city mappings
p39,4,irregular_mapping,"These targets include obj61 reaching apt5, obj52 ending up at pos2, obj21 being delivered to apt5, and several other packages reaching specific airports or positions within or across the different cities. For example, obj13 should be at pos7, obj32 should arrive at apt5, and obj11 must be delivered to apt4.","These targets are obj61 reaching apt5, obj52 ending up at pos2, obj21 being delivered to apt5, obj53 remaining at pos5, obj63 reaching pos2, obj62 reaching apt2, obj22 reaching apt4, obj23 reaching apt2, obj31 reaching apt7, obj42 reaching pos5, obj13 reaching pos7, obj72 reaching pos5, obj71 reaching apt6, obj33 reaching apt4, obj12 reaching apt2, obj73 reaching apt4, obj32 reaching apt5, obj11 reaching apt4, obj43 reaching apt4, obj41 reaching apt6, and obj51 remaining at pos5.",Enumerates all 21 irregular goal pairs rather than giving examples.,列举全部 21 个不规则目标对，而非仅给示例。,golden_problem.pddl:161-181: complete 21-atom goal conjunction
p39,5,contradiction,to meet the specified destinations efficiently,to meet the specified destinations,Removes an unsupported optimization implication.,删除无支持的优化含义。,golden_problem.pddl:160-182: destination conjunction with no metric
p42,1,missing_rule,"This pattern continues up to city cit8, where packages obj81, obj82, and obj83 are located at pos8.","This pattern applies to every index i from 1 through 8: for each such i, where i is replaced by the same index in every identifier, the three packages obji1, obji2, and obji3 are initially at posi.",The vague continuation did not uniquely enumerate package groups 3–7 or their initial positions. The bounded substitution rule expands to exactly obji1–obji3 at posi for i=1…8.,原有模糊续写无法唯一枚举第 3–7 组包裹及其初始位置；有界替换规则恰好展开为 i=1…8 时 obji1–obji3 位于 posi。,"golden_problem.pddl:8-10,15-17,22-24,30-32,37-39,44-46,51-53,59-61 (all OBJ objects) | golden_problem.pddl:64-87 ((PACKAGE OBJ11) through (PACKAGE OBJ83)) | golden_problem.pddl:133-163 (all package AT atoms)"
p42,2,ambiguity,Airplanes apn1 and apn2 are at airports apt8 and apt7.,"Airplanes apn1 and apn2 are at airports apt8 and apt7, respectively.","Without “respectively,” the two airplanes could not be uniquely paired with the two airports.",缺少“分别”时，两架飞机与两个机场之间无法唯一配对。,golden_problem.pddl:130: (AT APN1 APT8) | golden_problem.pddl:131: (AT APN2 APT7)
p42,3,missing_rule,"The locations pos1 to pos8, along with apt1 to apt8, are distributed among the cities cit1 to cit8.","For every index i from 1 through 8, where i is replaced by the same index in every identifier, posi and apti are locations in city citi, apti is an airport, and citi is a city.","“Distributed among” did not define the index correspondence, and apt3 was not otherwise explicitly typed as an airport. The replacement supplies the exact finite location, airport, city, and in-city rule.",“分布于”没有定义索引对应关系，且 apt3 在其他地方未被明确标为机场；替换文本给出了精确有限的地点、机场、城市及隶属城市规则。,golden_problem.pddl:96-103 ((CITY CIT1) through (CITY CIT8)) | golden_problem.pddl:104-119 ((LOCATION POS1)/(LOCATION APT1) through (LOCATION POS8)/(LOCATION APT8)) | golden_problem.pddl:120-127 ((AIRPORT APT1) through (AIRPORT APT8)) | golden_problem.pddl:164-179 ((IN-CITY POS1 CIT1)/(IN-CITY APT1 CIT1) through index 8)
p42,4,contradiction,The objective is to move all packages to their respective destinations efficiently.,All 23 listed destination conditions must hold simultaneously.,"“All packages” implied an unlisted destination for obj42, and “efficiently” added an optimization objective absent from the conjunctive PDDL goal. The replacement states only the 23 listed conjuncts.",“所有包裹”暗示 obj42 还有未列出的目的地，而“高效地”增加了 PDDL 合取目标中不存在的优化目标；替换文本只要求列出的 23 个合取条件。,golden_problem.pddl:182-204 (the complete 23-atom goal; no OBJ42 goal atom and no optimization metric)
p43,1,ambiguity,an airport (apt1 through apt8),an airport location (apt1 through apt8),Adding “location” directly supports the independent LOCATION facts for apt1–apt8 while preserving their airport type.,添加“地点”一词，可直接支持 apt1–apt8 各自独立的 LOCATION 事实，同时保留其机场类型。,"golden_problem.pddl:105,107,109,111,113,115,117,119 ((LOCATION APT1) through (LOCATION APT8)) | golden_problem.pddl:120-127 ((AIRPORT APT1) through (AIRPORT APT8))"
p43,2,ambiguity,Airports apt1 through apt8 are scattered across cities cit1 to cit8.,"Airports apt1 through apt8 are in cities cit1 through cit8, respectively.",“Scattered across” did not uniquely map each airport to a city. Ordered ranges plus “respectively” uniquely map aptN to citN.,“散布在”无法唯一确定每个机场所属的城市；有序范围加“分别”可唯一确定 aptN 到 citN 的映射。,"golden_problem.pddl:165,167,169,171,173,175,177,179 ((IN-CITY APT1 CIT1) through (IN-CITY APT8 CIT8))"
p47,1,contradiction,nine packages,twenty-seven packages,The explicit inventory and golden problem contain 27 packages.,明确清单和黄金问题均包含 27 个包裹。,"golden_problem.pddl:lines 9-11,16-18,23-25,30-32,38-40,45-47,52-54,59-61,67-69: package objects | golden_problem.pddl:lines 72-98: (PACKAGE ...) facts"
p47,2,contradiction,"nine locations, nine airports",eighteen locations (the nine positions and nine airports),The golden problem types all nine positions and all nine airports as locations.,黄金问题把九个普通位置和九个机场全部标为地点。,golden_problem.pddl:lines 117-134: (LOCATION ...) facts | golden_problem.pddl:lines 135-143: (AIRPORT ...) facts
p48,1,missing_rule,Each city from cit1 to cit9 has a position and an airport location (apt1 to apt9) with corresponding vehicles and packages.,"For each integer X from 1 through 9, citX is a city, posX and aptX are locations in citX, aptX is an airport, truX is a truck, and objX1, objX2, and objX3 are packages; initially, truX and those three packages are at posX.","The original correspondence was undefined; the bounded X=1..9 rule uniquely supplies every required object, type, initial position, and city membership.",原对应关系未定义；有限的 X=1..9 规则唯一给出每个必需对象、类型、初始位置和城市隶属关系。,golden_problem.pddl:lines 4-69: object families | golden_problem.pddl:lines 72-146: unary type facts | golden_problem.pddl:lines 150-185: truck/package initial positions | golden_problem.pddl:lines 186-203: location-city facts
p51,1,ambiguity,"Packages are labeled from obj11 to obj93, with various trucks from tru1 to tru9, and cities from cit1 to cit9.","Packages are labeled objX1, objX2, and objX3 for each integer X from 1 through 9, with trucks tru1 through tru9 and cities cit1 through cit9.",Replace the package pseudo-range and weakened truck inventory with exact bounded constructions.,用精确的有限构造替换包裹伪范围和被弱化的卡车清单。,"golden_problem.pddl:lines 4-69: exact object inventory | golden_problem.pddl:lines 72-116: package, truck, and city type atoms"
p51,2,missing_rule,"Each city contains specific locations, named as pos1 to pos9, and airports apt1 to apt9, with apt1 to apt9 designated as airports containing airplanes apn1 to apn3.","The locations are pos1 through pos9 and apt1 through apt9, with apt1 through apt9 designated as airports and apn1 through apn3 designated as airplanes.","State the exact location, airport, and airplane families without implying containment.",明确地点、机场和飞机对象族，且不暗示包含关系。,golden_problem.pddl:lines 117-134: (LOCATION ...) atoms | golden_problem.pddl:lines 135-146: (AIRPORT ...) and (AIRPLANE ...) atoms
p51,3,missing_rule,"Trucks and packages are placed at the corresponding positions: tru1 is at pos1 with packages obj11, obj12, and obj13; tru2 is at pos2 with obj21, obj22, and obj23, and so forth up to tru9 at pos9 containing obj91, obj92, and obj93.","Trucks and packages are placed at the corresponding positions: for each integer X from 1 through 9, truX and packages objX1, objX2, and objX3 are at posX.",Replace vague continuation and containment wording with a finite same-index initial-position rule.,用有限的同索引初始位置规则替换模糊续写和包含关系措辞。,golden_problem.pddl:lines 150-185: exact truck and package (AT ...) atoms
p53,1,ambiguity,"Specifically, the packages are labeled from obj11 to obj103, the trucks from tru1 to tru10, the cities from cit1 to cit10, and the locations which include positional areas and airports from pos1 to pos10 and apt1 to apt10, respectively.","Specifically, for each index i from 1 through 10, the three package labels are formed by writing obj, then i, then 1, 2, or 3; the trucks are labeled from tru1 to tru10, the cities from cit1 to cit10, and the locations which include positional areas and airports from pos1 to pos10 and apt1 to apt10, respectively.",The original package pseudo-range over-generates 63 identifiers; the bounded construction yields exactly the 30 golden package labels.,原包裹伪范围会多生成 63 个标识符；有限构造恰好产生 30 个黄金包裹标签。,"golden_problem.pddl:8-10,16-18,23-25,30-32,37-39,45-47,52-54,59-61,66-68,74-76: exact OBJ declarations | golden_problem.pddl:79-108: (PACKAGE ...)"
p53,2,missing_rule,"Each city contains a position and an airport: pos1 and apt1 in cit1, pos2 and apt2 in cit2, and so forth up to pos10 and apt10 in cit10.","Each city contains a position and an airport: for every index i from 1 through 10, pos followed by i and apt followed by i are in cit followed by the same i.",The continuation phrase does not define the middle location-to-city mappings.,延续性短语没有定义中间的地点到城市映射。,golden_problem.pddl:205-224: all 20 (IN-CITY ...) atoms
p53,3,missing_rule,"For example, tru1 along with obj11, obj12, and obj13 is at pos1, tru2 with obj21, obj22, and obj23 is at pos2, and this pattern continues until tru10 at pos10 with obj101, obj102, and obj103.","For every index i from 1 through 10, tru followed by i and the three package labels formed by writing obj, then i, then 1, 2, or 3 are all at pos followed by the same i.",Examples and an undefined continuation do not uniquely state placements for indices 3 through 9.,示例和未定义的延续不能唯一陈述索引 3 至 9 的位置。,golden_problem.pddl:165-204: truck and package (AT ...) atoms
p54,1,ambiguity,"In the Logistics game, we start with the following initial conditions: We have several packages including obj11 through obj103, and trucks tru1 through tru10.","In the Logistics game, we start with the following initial conditions: for every index i from 1 through 10, the three package labels are formed by writing obj, then i, then 1, 2, or 3, and the trucks are tru1 through tru10.",The package pseudo-range over-generates 63 identifiers; the bounded construction yields exactly the 30 golden labels.,包裹伪范围会多生成 63 个标识符；有限构造恰好产生 30 个黄金标签。,"golden_problem.pddl:8-10,16-18,23-25,30-32,37-39,45-47,52-54,59-61,66-68,74-76: exact OBJ declarations | golden_problem.pddl:79-118: (PACKAGE ...) and (TRUCK ...)"
p54,2,missing_rule,Each package and truck is located in a specific position or city.,"Initially, for every index i from 1 through 10, tru followed by i and the three package labels formed by writing obj, then i, then 1, 2, or 3 are all at pos followed by the same i.",The original does not provide any package/truck location mapping.,原句没有提供任何包裹或卡车的位置映射。,golden_problem.pddl:165-204: all truck and package (AT ...) atoms
p54,3,ambiguity,apt 10,apt10,The golden identifier has no internal space.,黄金标识符内部没有空格。,golden_problem.pddl:241: (AT OBJ61 APT10)
p54,4,missing_rule,"Each location including pos1 through pos10 and apt1 through apt10, is situated in various cities, from cit1 to cit10.","Each location, including pos1 through pos10 and apt1 through apt10, is situated in a city from cit1 through cit10: for every index i from 1 through 10, pos followed by i and apt followed by i are both in cit followed by the same i, and each of apt1 through apt10 is an airport.",The original lacks unique in-city mappings and seven airport type facts.,原句缺少唯一的地点到城市映射以及七个机场类型事实。,"golden_problem.pddl:119-158: (CITY ...), (LOCATION ...), and (AIRPORT ...) | golden_problem.pddl:205-224: all (IN-CITY ...) atoms"
p57,1,ambiguity,"Initially, I have packages labeled obj11 through obj103 distributed in various positions.","For each integer i from 1 through 10, I have exactly three packages labeled by concatenating obj, the decimal representation of i, and one of 1, 2, or 3; for example, i=1 gives obj11, obj12, and obj13, while i=10 gives obj101, obj102, and obj103.",Replaces an over-generating pseudo-range with a bounded construction for exactly the 30 golden packages.,用恰好构造 30 个黄金包裹的有界规则替换过度生成的伪范围。,"golden_problem.pddl:8-10,16-18,23-25,30-32,37-39,45-47,52-54,59-61,66-68,74-76: package objects | golden_problem.pddl:79-108: package type atoms"
